1377,1.92065,1.71447,269.878
1378,1.92130,1.71495,269.837
1379,1.92195,1.71542,269.797
1380,1.92260,1.71590,269.756
1381,1.92325,1.71637,269.715
1382,1.92390,1.71685,269.674
1383,1.92455,1.71732,269.634
1384,1.92520,1.71780,269.593
1385,1.92585,1.71827,269.552
1386,1.92650,1.71875,269.511
1387,1.92715,1.71923,269.471
1388,1.92780,1.71970,269.430
1389,1.92845,1.72018,269.389
1390,1.92910,1.72065,269.348
1391,1.92975,1.72113,269.308
1392,1.93040,1.72160,269.267
1393,1.93105,1.72208,269.226
1394,1.93170,1.72255,269.185
1395,1.93235,1.72303,269.145
1396,1.93300,1.72350,269.104
1397,1.93365,1.72398,269.063
1398,1.93430,1.72445,269.022
1399,1.93495,1.72493,268.982
1400,1.93560,1.72540,268.941
1401,1.93625,1.72588,268.900
1402,1.93690,1.72635,268.859
1403,1.93755,1.72683,268.819
1404,1.93820,1.72730,268.778
1405,1.93885,1.72778,268.737
1406,1.93950,1.72825,268.696
1407,1.94015,1.72873,268.656
1408,1.94080,1.72920,268.615
1409,1.94145,1.72968,268.574
1410,1.94210,1.73015,268.533
1411,1.94275,1.73063,268.493
1412,1.94340,1.73110,268.452
1413,1.94405,1.73158,268.411
1414,1.94470,1.73205,268.370
1415,1.94535,1.73253,268.330
1416,1.94600,1.73300,268.289
1417,1.94665,1.73348,268.248
1418,1.94730,1.73395,268.207
1419,1.94795,1.73443,268.167
1420,1.94860,1.73490,268.126
1421,1.94925,1.73538,268.085
1422,1.94990,1.73585,268.044
1423,1.95055,1.73633,268.004
1424,1.95120,1.73680,267.963
1425,1.95185,1.73728,267.922
1426,1.95250,1.73775,267.881
1427,1.95315,1.73823,267.841
1428,1.95380,1.73870,267.800
1429,1.95445,1.73918,267.759
1430,1.95510,1.73965,267.718
1431,1.95575,1.74013,267.678
1432,1.95640,1.74060,267.637
1433,1.95705,1.74108,267.596
1434,1.95770,1.74155,267.555
1435,1.95835,1.74203,267.515
1436,1.95900,1.74250,267.474
1437,1.95965,1.74298,267.433
1438,1.96030,1.74345,267.392
1439,1.96095,1.74393,267.352
1440,1.96160,1.74440,267.311
1441,1.96225,1.74488,267.270
1442,1.96290,1.74535,267.229
1443,1.96355,1.74583,267.189
1444,1.96420,1.74630,267.148
1445,1.96485,1.74678,267.107
1446,1.96550,1.74725,267.066
1447,1.96615,1.74773,267.026
1448,1.96680,1.74820,266.985
1449,1.96745,1.74868,266.944
1450,1.96810,1.74915,266.903
1451,1.96875,1.74963,266.863
1452,1.96940,1.75010,266.822
1453,1.97005,1.75058,266.781
1454,1.97070,1.75105,266.740
1455,1.97135,1.75153,266.700
1456,1.97200,1.75200,266.659
1457,1.97265,1.75248,266.618
1458,1.97330,1.75295,266.577
1459,1.97395,1.75343,266.537
1460,1.97460,1.75390,266.496
1461,1.97525,1.75438,266.455
1462,1.97590,1.75485,266.414
1463,1.97655,1.75533,266.374
1464,1.97720,1.75580,266.333
1465,1.97785,1.75628,266.292
1466,1.97850,1.75675,266.251
1467,1.97915,1.75723,266.211
1468,1.97980,1.75770,266.170
1469,1.98045,1.75818,266.129
1470,1.98110,1.75865,266.088
1471,1.98175,1.75913,266.048
1472,1.98240,1.75960,266.007
1473,1.98305,1.76008,265.966
1474,1.98370,1.76055,265.925
1475,1.98435,1.76103,265.885
1476,1.98500,1.76150,265.844
1477,1.98565,1.76198,265.803
1478,1.98630,1.76245,265.762
1479,1.98695,1.76293,265.722
1480,1.98760,1.76340,265.681
1481,1.98825,1.76388,265.640
1482,1.98890,1.76435,265.599
1483,1.98955,1.76483,265.559
1484,1.99020,1.76530,265.518
1485,1.99085,1.76578,265.477
1486,1.99150,1.76625,265.436
1487,1.99215,1.76673,265.396
1488,1.99280,1.76720,265.355
1489,1.99345,1.76768,265.314
1490,1.99410,1.76815,265.273
1491,1.99475,1.76863,265.233
